clock	value
1508601602	0.0608
1508601662	0.1546
1508601722	0.2275
1508601781	0.1125
1508601842	0.0788
1508601902	0.0588
1508601962	0.0429
1508602021	0.0738
1508602082	0.0508
1508602142	0.1512
1508602202	0.1404
1508602262	0.0871
1508602322	0.0754
1508602382	0.1371
1508602442	0.1638
1508602502	0.1538
1508602562	0.1783
1508602622	0.1333
1508602682	0.1196
1508602742	0.1846
1508602802	0.1404
1508602863	0.1575
1508602922	0.1383
1508602982	0.1583
1508603042	0.2817
1508603102	0.1733
1508603162	0.1512
1508603223	0.125
1508603282	0.0746
1508603342	0.1017
1508603402	0.0729
1508603462	0.0525
1508603522	0.0629
1508603582	0.0754
1508603642	0.0492
1508603702	0.0583
1508603762	0.0562
1508603822	0.0512
1508603882	0.0912
1508603941	0.1517
1508604002	0.1471
1508604062	0.1367
1508604122	0.1058
1508604182	0.155
1508604242	0.1325
1508604302	0.11
1508604362	0.1025
1508604422	0.0908
1508604482	0.095
1508604542	0.1025
1508604602	0.0658
1508604662	0.1354
1508604722	0.0612
1508604782	0.1833
1508604842	0.1221
1508604902	0.1288
1508604961	0.0771
1508605022	0.055
1508605082	0.0479
1508605142	0.0567
1508605202	0.0488
1508605262	0.0492
1508605322	0.05
1508605382	0.0596
1508605442	0.0583
1508605502	0.0621
1508605562	0.1458
1508605622	0.1871
1508605682	0.1258
1508605742	0.1342
1508605802	0.0979
1508605862	0.0854
1508605922	0.0971
1508605982	0.1367
1508606042	0.5442
1508606102	1.2004
1508606162	1.5779
1508606221	1.1808
1508606282	0.7683
1508606342	0.5746
1508606402	0.5529
1508606462	0.5425
1508606522	0.8383
1508606582	1.4754
1508606642	1.5517
1508606702	1.4183
1508606762	1.0525
1508606822	1.3962
1508606882	1.3067
1508606942	0.9433
1508607001	0.8292
1508607062	0.5462
1508607122	0.5058
1508607182	0.23
1508607242	0.1921
1508607302	0.7862
1508607362	0.8317
1508607422	0.635
1508607481	0.6529
1508607542	0.5196
1508607602	0.5262
1508607662	1.1342
1508607721	0.9517
1508607782	0.6562
1508607842	0.7467
1508607902	0.5396
1508607962	0.4708
1508608022	0.2675
1508608082	0.1292
1508608142	0.6875
1508608202	0.3333
1508608261	0.6608
1508608322	0.2821
1508608382	0.1375
1508608442	0.1121
1508608502	0.3638
1508608562	0.4571
1508608622	0.2508
1508608682	0.1571
1508608742	0.6075
1508608802	0.26
1508608862	0.4546
1508608922	0.3738
1508608982	0.1883
1508609042	0.1562
1508609102	0.1212
1508609162	0.2771
1508609221	0.3354
1508609282	0.4971
1508609342	0.8671
1508609402	0.7775
1508609462	0.5658
1508609522	0.3767
1508609582	0.4375
1508609642	0.3571
1508609702	0.2483
1508609762	0.2879
1508609821	0.6175
1508609882	0.7617
1508609942	0.5979
1508610002	0.5621
1508610062	0.4904
1508610121	0.5154
1508610182	0.9562
1508610241	1.3746
1508610302	0.9088
1508610362	0.5242
1508610422	0.4438
1508610482	0.9404
1508610542	0.4525
1508610602	1.4075
1508610662	0.8404
1508610722	0.3333
1508610782	0.1508
1508610842	0.1996
1508610902	0.1538
1508610962	0.1571
1508611022	0.0783
1508611084	0.0571
1508611141	0.0842
1508611201	0.075
1508611262	0.0617
1508611322	0.1225
1508611382	0.0658
1508611442	0.2188
1508611501	0.7412
1508611562	0.3596
1508611622	0.6342
1508611682	0.3408
1508611742	0.1946
1508611802	0.1071
1508611862	0.0462
1508611922	0.0771
1508611981	0.0717
1508612102	0.315
1508612162	0.1621
1508612222	0.0779
1508612282	0.0667
1508612342	0.0912
1508612402	0.1867
1508612462	0.7075
1508612522	0.9712
1508612582	0.4383
1508612642	0.2821
1508612702	0.1708
1508612762	0.1404
1508612822	0.8962
1508612882	1.5621
1508612942	1.8625
1508613002	1.2604
1508613062	0.4633
1508613122	0.6829
1508613182	0.3333
1508613242	0.175
1508613302	0.7204
1508613362	0.8246
1508613422	0.6425
1508613482	0.5321
1508613542	0.5142
1508613601	0.5071
1508613662	0.4842
1508613722	0.7708
1508613782	0.7883
1508613842	0.6221
1508613902	0.4854
1508613962	0.4275
1508614022	0.3233
1508614082	0.8517
1508614143	0.8292
1508614202	0.3729
1508614262	0.2175
1508614322	0.4788
1508614382	1.0271
1508614442	0.9704
1508614502	1.345
1508614562	0.5346
1508614622	0.2888
1508614682	0.1146
1508614742	0.0917
1508614802	0.1496
1508614862	0.1821
1508614922	0.3183
1508614982	0.4617
1508615042	0.4433
1508615102	0.505
1508615162	0.4842
1508615222	0.4442
1508615282	0.2588
1508615342	0.3229
1508615402	0.255
1508615462	0.1896
1508615522	0.3612
1508615581	0.3404
1508615642	0.1817
1508615702	0.1721
1508615762	0.92
1508615822	0.4454
1508615881	0.2454
1508615942	0.1546
1508616002	0.7379
1508616062	0.4175
1508616122	0.6383
1508616182	0.2762
1508616242	0.1946
1508616302	0.1375
1508616362	0.2888
1508616422	0.1483
1508616482	0.5808
1508616542	0.4321
1508616602	0.4333
1508616662	0.185
1508616722	0.0854
1508616782	0.0896
1508616842	0.0738
1508616902	0.1025
1508616962	0.1046
1508617022	0.085
1508617082	0.1346
1508617142	0.0817
1508617202	0.1021
1508617262	0.1021
1508617322	0.0721
1508617382	0.095
1508617442	0.115
1508617502	0.1842
1508617562	0.4096
1508617622	0.5038
1508617682	0.7967
1508617741	0.4892
1508617802	0.2204
1508617862	0.1512
1508617921	0.0938
1508617982	0.0533
1508618042	0.0342
1508618102	0.05
1508618162	0.0808
1508618222	0.0758
1508618282	0.0333
1508618342	0.1092
1508618402	0.0725
1508618462	0.0467
1508618522	0.0408
1508618582	0.0642
1508618642	0.0921
1508618702	0.1433
1508618762	0.6167
1508618822	0.4125
1508618882	0.1696
1508618942	0.0738
1508619002	0.7771
1508619062	0.4475
1508619122	0.3088
1508619182	0.4262
1508619242	0.2496
1508619302	0.1321
1508619362	0.0646
1508619422	0.0804
1508619482	0.0708
1508619542	0.055
1508619602	0.08
1508619662	0.0792
1508619722	0.2062
1508619782	0.2862
1508619842	0.5012
1508619902	0.2096
1508619962	0.1229
1508620022	0.1112
1508620082	0.0912
1508620142	0.2221
1508620202	0.4608
1508620262	0.6562
1508620322	0.505
1508620382	0.4662
1508620442	0.6721
1508620503	1.0654
1508620562	0.9583
1508620623	0.6779
1508620682	0.2929
1508620743	0.1742
1508620802	0.1088
1508620862	0.0738
1508620921	0.1962
1508620981	0.1425
1508621044	0.0817
1508621102	0.0796
1508621162	0.0671
1508621222	0.6575
1508621282	1.3467
1508621342	1.3521
1508621402	0.9329
1508621462	0.38
1508621522	0.1954
1508621582	0.1171
1508621642	0.065
1508621702	0.045
1508621762	0.0592
1508621822	0.0538
1508621882	0.1721
1508621942	0.0975
1508622002	0.1404
1508622062	0.1
1508622122	0.3388
1508622182	0.2029
1508622242	0.3246
1508622302	1.1596
1508622362	1.3417
1508622422	1.5442
1508622482	1.0154
1508622542	0.4529
1508622602	0.2692
1508622662	0.1838
1508622722	0.1512
1508622782	0.1942
1508622842	0.2033
1508622902	0.1825
1508622962	0.5629
1508623022	0.5138
1508623082	1.1879
1508623142	1.2942
1508623202	0.5933
1508623262	0.5254
1508623322	0.4417
1508623382	0.3354
1508623442	0.3575
1508623502	0.1817
1508623562	0.1075
1508623622	0.5512
1508623681	1.3108
1508623742	1.2792
1508623802	0.7496
1508623862	0.7188
1508623921	0.6442
1508623982	0.6533
1508624042	0.7704
1508624102	0.5888
1508624162	0.5967
1508624222	0.5279
1508624282	0.5546
1508624342	0.4017
1508624402	0.7842
1508624462	0.5475
1508624523	0.3896
1508624582	0.1546
1508624642	0.08
1508624702	0.0829
1508624762	0.29
1508624822	0.21
1508624882	0.1396
1508624942	0.0783
1508625002	0.0492
1508625062	0.1946
1508625122	0.2013
1508625182	0.7887
1508625243	0.5592
1508625302	0.2283
1508625362	0.2121
1508625422	0.1254
1508625482	0.155
1508625542	0.3129
1508625602	0.6475
1508625662	0.3642
1508625722	0.5921
1508625782	1.0175
1508625842	0.8629
1508625902	1.3487
1508625962	0.5625
1508626022	0.2346
1508626082	0.1162
1508626142	0.0762
1508626202	0.0775
1508626262	0.83
1508626322	0.3521
1508626382	0.2117
1508626442	0.2262
1508626502	0.1492
1508626562	0.0796
1508626623	0.0946
1508626682	0.8183
1508626742	0.6538
1508626802	0.6712
1508626862	0.82
1508626922	0.6596
1508626982	1.4358
1508627042	1.4917
1508627102	1.3904
1508627162	1.2
1508627222	0.4838
1508627282	0.2967
1508627342	0.2221
1508627402	1.1733
1508627462	0.6583
1508627522	0.9117
1508627582	0.6125
1508627642	0.9879
1508627702	0.5558
1508627761	0.9167
1508627822	1.5129
1508627883	2.1596
1508627941	2.1408
1508628002	1.6729
1508628062	0.6488
1508628122	0.265
1508628182	0.1508
1508628241	0.4742
1508628302	0.3742
1508628362	0.1842
1508628422	0.1329
1508628482	0.0871
1508628542	0.0854
1508628602	0.4808
1508628662	0.7825
1508628722	0.3958
1508628782	0.6142
1508628842	0.2733
1508628903	0.14
1508628962	0.09
1508629022	0.1188
1508629082	0.1275
1508629142	0.2388
