clock	value
1508601628	0.4813
1508601688	0.4642
1508601748	0.5739
1508601808	0.549
1508601868	0.8694
1508601928	0.7118
1508601988	0.6044
1508602047	0.3857
1508602108	0.2905
1508602168	1.2787
1508602228	0.9642
1508602288	0.4707
1508602348	0.5408
1508602408	0.987
1508602468	0.3239
1508602528	0.6613
1508602588	0.6252
1508602648	0.9493
1508602708	0.8538
1508602768	0.9299
1508602828	0.8536
1508602888	0.636
1508602948	0.5136
1508603008	1.0422
1508603068	1.3976
1508603128	0.8092
1508603188	0.5506
1508603248	0.7449
1508603308	1.3319
1508603368	0.8245
1508603428	0.4865
1508603488	0.8684
1508603548	0.8615
1508603608	0.758
1508603668	0.6771
1508603728	0.5169
1508603788	0.5197
1508603848	1.1054
1508603908	1.0489
1508603968	1.4508
1508604028	0.679
1508604088	1.1417
1508604148	0.9547
1508604208	1.0464
1508604268	1.1294
1508604328	0.589
1508604388	0.5424
1508604448	0.9098
1508604508	1.2741
1508604568	0.5976
1508604628	1.1329
1508604689	0.983
1508604748	0.7024
1508604808	0.7385
1508604868	0.5757
1508604928	0.5181
1508604988	0.5423
1508605048	0.9661
1508605108	0.8048
1508605167	0.3004
1508605228	0.3518
1508605288	0.9689
1508605348	0.6354
1508605408	0.6797
1508605468	0.723
1508605528	0.5399
1508605588	0.4691
1508605648	0.3914
1508605708	0.7828
1508605768	1.0038
1508605828	0.4955
1508605888	0.7464
1508605948	0.7209
1508606008	0.6019
1508606068	0.7502
1508606128	0.8836
1508606188	0.5692
1508606248	0.8629
1508606307	0.7596
1508606368	0.6574
1508606428	0.6414
1508606488	0.4291
1508606547	0.8784
1508606608	1.065
1508606668	0.6522
1508606728	0.5992
1508606788	0.6467
1508606848	1.0545
1508606908	0.6757
1508606968	0.9085
1508607028	1.0805
1508607088	0.7942
1508607148	0.4999
1508607208	0.5671
1508607268	0.4018
1508607327	0.3887
1508607388	0.6161
1508607448	0.412
1508607508	0.6767
1508607567	0.9725
1508607628	0.4844
1508607688	0.5094
1508607748	0.4313
1508607808	0.3147
1508607868	0.456
1508607928	0.6131
1508607988	0.6098
1508608048	0.5312
1508608108	0.6698
1508608168	0.503
1508608228	0.9624
1508608288	0.6212
1508608348	0.4051
1508608408	0.6005
1508608468	0.6508
1508608528	0.5104
1508608588	0.5637
1508608648	0.934
1508608708	0.8203
1508608768	0.2909
1508608828	0.293
1508608888	0.794
1508608948	0.8653
1508609008	0.7016
1508609068	0.7256
1508609128	0.4286
1508609188	0.517
1508609248	0.6469
1508609308	1.0473
1508609368	0.8549
1508609428	0.4422
1508609488	0.7262
1508609548	0.6439
1508609608	0.6793
1508609668	0.5394
1508609728	0.6767
1508609788	0.89
1508609848	0.6267
1508609908	0.6788
1508609968	0.6882
1508610028	0.558
1508610088	0.4333
1508610148	0.9496
1508610208	0.8272
1508610268	0.548
1508610328	0.3884
1508610388	0.566
1508610448	0.9243
1508610508	0.614
1508610569	0.5084
1508610628	1.0761
1508610688	0.731
1508610748	0.6368
1508610808	0.6359
1508610868	0.4433
1508610928	0.4105
1508610988	0.6534
1508611048	0.2421
1508611108	0.6495
1508611168	0.7143
1508611228	0.4638
1508611288	0.4517
1508611348	0.2886
1508611408	0.7516
1508611468	0.6113
1508611528	0.4687
1508611588	0.4428
1508611648	0.4087
1508611708	0.7077
1508611768	0.5019
1508611828	0.9217
1508611888	0.5807
1508611948	0.3686
1508612008	0.5667
1508612068	0.5725
1508612128	0.4437
1508612188	0.4555
1508612248	0.8263
1508612307	0.7968
1508612368	0.3438
1508612427	0.2206
1508612488	0.7962
1508612547	0.8567
1508612608	0.6688
1508612668	0.5693
1508612728	0.5545
1508612788	0.4705
1508612848	0.3135
1508612908	1.0881
1508612968	0.6094
1508613028	0.4748
1508613088	0.8189
1508613148	0.6277
1508613208	0.662
1508613268	0.5827
1508613327	0.6702
1508613388	1.3704
1508613448	0.7844
1508613508	0.8331
1508613568	0.8467
1508613628	0.6291
1508613688	0.5134
1508613748	1.0079
1508613808	0.9548
1508613868	0.8219
1508613928	0.5277
1508613988	0.6773
1508614048	0.7965
1508614108	0.8295
1508614168	0.794
1508614228	0.4974
1508614288	1.2494
1508614348	0.8763
1508614408	0.7772
1508614468	0.5969
1508614527	0.5554
1508614587	0.8569
1508614647	0.622
1508614708	0.7808
1508614767	0.6278
1508614827	0.4947
1508614888	0.5509
1508614948	0.5023
1508615008	0.3286
1508615068	0.927
1508615128	0.4635
