clock	value
1508601627	142141296
1508601687	724911408
1508601747	247542704
1508601807	145617784
1508601867	592452232
1508601927	512676104
1508601987	80491664
1508602047	65831432
1508602107	68749880
1508602167	396133328
1508602227	634211160
1508602287	184700904
1508602347	251880752
1508602407	174821088
1508602467	46189888
1508602527	166714448
1508602587	507464144
1508602647	790587264
1508602707	186725872
1508602767	371607880
1508602827	698375832
1508602887	131924488
1508602947	281452952
1508603007	170988880
1508603067	762943600
1508603127	402458800
1508603187	103004928
1508603247	116122264
1508603307	214978160
1508603367	123686168
1508603426	83319696
1508603487	467923288
1508603547	630362296
1508603606	244889744
1508603667	132074608
1508603726	555840112
1508603787	381111488
1508603847	194099184
1508603906	197548304
1508603966	253058344
1508604027	85404984
1508604087	139222016
1508604147	363781488
1508604206	987008152
1508604266	565049696
1508604327	181314880
1508604387	90796328
1508604447	104877400
1508604507	218360512
1508604567	105571072
1508604627	171995680
1508604687	149917248
1508604747	77709272
1508604807	158807120
1508604866	121200056
1508604927	83017984
1508604986	112208184
1508605047	947983192
1508605107	1062989992
1508605167	367228832
1508605227	103344832
1508605287	221870144
1508605347	82035376
1508605407	137510872
1508605467	152755968
1508605527	76089592
1508605587	67436728
1508605647	41451120
1508605707	157039920
1508605767	239109408
1508605827	84539624
1508605887	137909416
1508605946	806408368
1508606007	885874256
1508606067	233095088
1508606127	156186288
1508606187	129583016
1508606246	189408984
1508606307	212252592
1508606367	155385224
1508606427	98186072
1508606487	79404352
1508606547	132285336
1508606607	190374432
1508606667	134376632
1508606727	106933032
1508606787	128096016
1508606847	126776056
1508606907	155605008
1508606967	188910448
1508607027	149364936
1508607087	113460024
1508607147	73088360
1508607207	141520936
1508607267	130066080
1508607327	78290336
1508607386	88844816
1508607446	66943448
1508607506	157921888
1508607567	323214216
1508607627	61358360
1508607687	78228752
1508607746	169118680
1508607807	54167768
1508607867	127123176
1508607927	116704480
1508607987	119341000
1508608047	71318032
1508608107	160050472
1508608167	156567800
1508608227	135169040
1508608287	87655432
1508608347	49593968
1508608407	139327112
1508608467	158165048
1508608527	93625776
1508608587	121965720
1508608647	776390976
1508608707	1128821584
1508608767	659645712
1508608827	95094080
1508608887	206278232
1508608947	122612184
1508609007	160514304
1508609067	207332504
1508609127	53609288
1508609187	72103720
1508609247	98685840
1508609306	202394728
1508609367	318619928
1508609427	165389928
1508609487	135532640
1508609547	397751608
1508609607	157072456
1508609667	92374008
1508609727	144946992
1508609787	213084744
1508609847	84117192
1508609907	165265464
1508609967	170337336
1508610027	90573544
1508610087	95834160
1508610147	144170096
1508610207	171852200
1508610267	155252256
1508610327	70574168
1508610387	110500256
1508610447	1017583008
1508610507	646638648
1508610567	153177208
1508610627	201152704
1508610687	139967512
1508610746	92341744
1508610806	159776912
1508610867	153083536
1508610927	73629176
1508610987	100271800
1508611047	36157616
1508611107	178302152
1508611167	210496704
1508611227	111553016
1508611287	91266864
1508611347	52742928
1508611407	122586968
1508611467	176367240
1508611527	70140320
1508611587	109149816
1508611647	59685384
1508611707	164292536
1508611767	166486912
1508611827	153355344
1508611887	84091656
1508611947	48992176
1508612007	133747752
1508612067	180453320
1508612127	82306456
1508612187	120963976
1508612247	953333472
1508612307	1014632872
1508612367	499084976
1508612427	40749608
1508612487	282428184
1508612547	129937800
1508612607	148420000
1508612667	197721560
1508612727	75134104
1508612787	88435464
1508612846	46179352
1508612907	235792464
1508612967	264028328
1508613027	45652344
1508613087	172261344
1508613147	339910360
1508613207	184006304
1508613267	155561240
1508613327	73176152
1508613387	358158616
1508613447	195864952
1508613507	150846776
1508613567	271460824
1508613627	95031640
1508613687	69555688
1508613747	138232480
1508613807	177463968
1508613867	205834096
1508613927	338470024
1508613987	106577416
1508614047	790183952
1508614107	938707480
1508614167	306089936
1508614227	243308752
1508614287	205886640
1508614347	158011184
1508614407	173695928
1508614467	243678184
1508614527	78998328
1508614587	109685128
1508614647	71224160
1508614707	169370976
1508614767	187987960
1508614827	131799576
1508614887	84747704
1508614947	83245152
1508615007	48670080
1508615067	174443552
1508615127	226016872
1508615187	107810640
1508615247	63788136
1508615307	126370688
1508615367	114552952
1508615427	246102456
1508615487	152677912
1508615547	138025872
1508615607	166910656
1508615667	185680632
1508615727	160759968
1508615787	85434264
1508615847	689986672
1508615906	909012704
1508615967	962601664
1508616027	213403008
1508616087	77458392
1508616147	56567896
1508616207	139300728
1508616267	208906816
1508616327	125193488
1508616387	56548320
1508616447	45672344
1508616507	209129672
1508616567	307157208
1508616627	78944160
1508616687	78793608
1508616748	98447616
1508616807	352390816
1508616867	145037920
1508616927	177945640
1508616987	302763776
1508617047	142269072
1508617107	279587744
1508617167	255054608
1508617227	178179240
1508617287	93240656
1508617347	134234440
1508617407	119585912
1508617467	200388256
1508617527	134038632
1508617587	126044408
1508617646	1084703488
1508617707	587554504
1508617766	232291504
1508617827	276429464
1508617887	119603120
1508617947	99739712
1508618006	121571392
1508618067	217661000
1508618127	36330624
1508618187	74948144
1508618246	59469648
1508618307	138186976
1508618367	335718504
1508618427	64226024
1508618486	127272896
1508618547	77804816
1508618607	84696168
1508618667	142523624
1508618727	343534824
1508618787	103765240
1508618847	246942312
1508618907	162752304
1508618967	469492952
1508619027	181909472
1508619086	111271288
1508619147	67380040
1508619207	127179360
1508619267	226947544
1508619327	187879400
1508619387	80075824
1508619447	1019060064
1508619507	908591672
1508619567	641156272
1508619627	340594208
1508619687	115503728
1508619747	60099176
1508619807	129692504
1508619867	194763232
1508619927	139384720
1508619988	57697336
1508620047	30893120
1508620107	273459552
1508620167	331474312
1508620227	75728912
1508620287	105984408
1508620347	375820344
1508620407	154663576
1508620467	151000920
1508620527	333202608
1508620587	163515016
1508620647	102734784
1508620707	157210992
1508620768	237935840
1508620827	179268584
1508620887	60260320
1508620947	118471392
1508621007	248832168
1508621067	284136192
1508621127	184055712
1508621187	88597912
1508621247	877736880
1508621307	858725200
1508621366	308841208
1508621427	287195080
1508621487	112516072
1508621547	106850080
1508621607	141910584
1508621667	433446392
1508621727	97854360
1508621787	442719008
1508621847	229488776
1508621907	411205424
1508621966	236688600
1508622027	280109984
1508622087	469790048
1508622147	199475592
1508622207	76608688
1508622267	358440264
1508622327	267242632
1508622387	474806016
1508622447	240224712
1508622507	230692624
1508622567	355917864
1508622627	251109792
1508622687	120942728
1508622747	76184504
1508622807	226877696
1508622867	281340784
1508622927	153120832
1508622987	94315688
1508623047	942301432
1508623107	957976264
1508623167	697384248
1508623227	391269712
1508623287	165157808
1508623347	58588256
1508623407	93235624
1508623467	304473936
1508623527	173967712
1508623587	294381408
1508623647	55456504
1508623707	172402280
1508623767	382862896
1508623827	106088400
1508623887	127081936
1508623947	331097816
1508624007	139091792
1508624067	174012000
1508624127	110464120
1508624187	403692968
1508624247	195434184
1508624307	155484184
1508624367	300250800
1508624427	184622592
1508624487	54610472
1508624547	128801880
1508624607	167450624
1508624667	245263248
1508624727	94373368
1508624787	161076528
1508624847	892639816
1508624907	862803224
1508624967	219547032
1508625026	223784016
