clock	value
1508601693	103910536.534
1508601740	165683.2
1508601761	165683.2
1508601821	23582310.4
1508601881	83715549.8665
1508602093	187704729.6
1508602127	187704729.6
1508602181	260606020.266
1508602265	434858.6665
1508602301	434858.6665
1508602361	52339302.4
1508602421	115176174.934
1508602481	500437947.734
1508602716	39253469.8665
1508602751	132996573.867
1508602781	132996573.867
1508602841	89823914.6665
1508602901	28772829.8665
1508602961	50250547.2
1508603021	12947319.4665
1508603081	158742391.467
1508603437	510632413.867
1508603483	176689971.2
1508603501	176689971.2
1508603561	5629883.7335
1508603621	140180343.467
1508603681	277143756.8
1508603934	158709623.467
1508603981	187780369.067
1508604066	565780138.666
1508604101	565780138.666
1508604161	381406071.466
1508604221	550948249.6
1508604281	302031872.0
1508604519	63533533.8665
1508604552	183241728.0
1508604581	183241728.0
1508604641	354853888.0
1508604701	15676757.3335
1508604761	4926054.4
1508604821	3161429.3335
1508604881	5280290.1335
1508605245	707090841.6
1508605301	566592580.266
1508605361	40357751.4665
1508605421	42528904.5335
1508605481	103111680.0
1508605715	297673659.734
1508605751	129141418.667
1508605781	129141418.667
1508605864	572993740.8
1508605901	572993740.8
1508605961	246120174.933
1508606021	489595016.534
1508606081	132041386.667
1508606284	236775150.933
1508606321	24926412.8
1508606381	61184477.8665
1508606441	24911394.1335
1508606501	6972552.5335
1508606561	22490233.4915
1508606621	20689851.7335
1508606681	6103449.6
1508607061	200555724.8
1508607111	12784844.8
1508607161	20211507.2
1508607221	12658278.4
1508607281	2562457.6
1508607524	128581085.867
1508607581	105142067.2
1508607664	523388791.466
1508607701	523388791.466
1508607761	378069401.6
1508607821	252497783.467
1508607881	559912686.934
1508608115	14728874.6665
1508608150	91164672.0
1508608181	91164672.0
1508608241	10647961.6
1508608301	17110493.8665
1508608361	6137173.3335
1508608421	35516484.2665
1508608481	114247543.466
1508608864	596038109.867
1508608912	596038109.867
1508608961	205129591.467
1508609021	64508996.2665
1508609081	129889621.333
1508609296	128025531.734
1508609328	128025531.734
1508609381	67827097.6
1508609465	556127368.533
1508609501	556127368.533
1508609561	265627170.134
1508609621	498847812.266
1508609681	157752320.0
1508609917	23404066.1335
1508609949	52935611.7335
1508609981	52935611.7335
1508610041	1915426.1335
1508610101	10009804.8
1508610161	23909990.4
1508610221	13979033.6
1508610281	4836283.7335
1508610662	15156019.2
1508610716	15156019.2
1508610761	5196868.2665
1508610821	2002397.8665
1508610881	2632908.8
1508611102	1447048.5335
1508611138	1447048.5335
1508611181	25556718.9335
1508611262	302793045.334
1508611301	551216128.0
1508611361	258754560.0
1508611421	95540292.2665
1508611481	49624814.9335
1508611652	5948962.1335
1508611685	3381384.5335
1508611721	3381384.5335
1508611781	19296733.8665
1508611841	4330427.7335
1508611901	7985152.0
1508611961	4207957.3335
1508612021	25757764.2665
1508612081	36441361.0665
1508612458	681716599.467
1508612510	630170282.666
1508612561	50507912.5335
1508612621	52292676.2665
1508612681	7845205.3335
1508612860	290899353.6
1508612921	90945877.3335
1508612981	119315114.667
1508613056	312394683.734
1508613102	325679513.6
1508613161	442568908.8
1508613221	370887611.734
1508613281	452648209.067
1508613518	47398707.2
1508613551	55086284.8
1508613581	55086284.8
1508613641	29868236.8
1508613701	6322039.4665
1508613761	111704678.4
1508613821	16999560.5335
1508613881	7278387.2
1508614267	131397222.4
1508614314	131397222.4
1508614361	285053610.666
1508614421	153555763.2
1508614481	18373563.7335
1508614710	9869107.2
1508614743	33327581.8665
1508614781	33327581.8665
1508614866	292916087.466
1508614901	292916087.466
1508614961	448682666.666
1508615021	550598246.4
1508615081	176869102.933
1508615313	41956078.9335
1508615349	158509397.333
1508615381	158509397.333
1508615441	166373717.333
1508615501	88881152.0
1508615561	6870971.7335
1508615621	13616469.3335
1508615681	124019780.266
1508616044	168744960.0
1508616101	12398114.1335
1508616161	2683357.8665
1508616221	26397354.6665
1508616281	2579114.6665
1508616504	77196834.1335
1508616540	77196834.1335
1508616581	128705058.133
1508616663	547829555.2
1508616701	547829555.2
1508616761	213285137.067
1508616821	519195101.867
1508616881	393559176.534
1508617087	149049002.667
1508617121	149049002.667
1508617181	95250568.5335
1508617241	9193198.9335
1508617301	10922257.0665
1508617361	27893691.7335
1508617421	20574208.0
1508617481	5059174.4
1508617849	566752460.8
1508617901	286090376.534
1508617961	133435801.6
1508618021	8552857.6
1508618081	7823428.2665
1508618316	858931.2
1508618350	21985894.4
1508618381	21985894.4
1508618463	529455650.133
1508618501	529455650.133
1508618561	512000887.466
1508618621	22505540.2665
1508618681	176119944.533
1508618928	24667886.9335
1508618981	153504426.667
1508619041	358928930.133
1508619101	88755268.2665
1508619161	5056034.1335
1508619221	33837056.0
1508619281	127991739.734
1508619660	187464567.467
1508619710	35639705.6
1508619761	12585096.5335
1508619821	25183436.8
1508619881	2624989.8665
1508620056	304158515.2
1508620086	97518592.0
1508620122	97518592.0
1508620181	120736153.6
1508620269	437761228.8
1508620301	437761228.8
1508620361	499003801.6
1508620421	452026914.133
1508620481	341810722.133
1508620704	23743419.7335
1508620737	23743419.7335
1508620781	68023432.5335
1508620841	12076305.0665
1508620901	10589730.1335
1508620961	25590852.2665
1508621021	11179417.6
1508621081	2661034.6665
1508621469	211867716.266
1508621514	211867716.266
1508621561	126032213.333
1508621621	3233177.6
1508621681	3307656.5335
1508621915	686011.7335
1508621948	15798613.3335
1508621981	15798613.3335
1508622041	160788206.933
1508622101	561005841.066
1508622161	503072153.6
1508622221	187583146.667
1508622281	139441698.134
1508622498	117689139.2
1508622531	117689139.2
1508622581	158891690.667
1508622641	342855680.0
1508622701	11029777.0665
1508622761	4584448.0
1508622821	18187878.4
1508622881	59596458.6665
1508623258	295786496.0
1508623311	69495330.1335
1508623361	16999014.4
1508623421	21109486.9335
1508623481	147482077.866
1508623712	6157448.5335
1508623747	150459050.667
1508623781	150459050.667
1508623844	179878024.533
1508623901	566393309.867
1508623961	188042171.734
1508624021	534136763.734
1508624081	155011959.467
1508624309	18087731.2
1508624346	51541947.7335
1508624381	51541947.7335
1508624441	24424516.2665
1508624501	4442931.2
1508624561	25818931.2
1508624621	12748731.7335
1508624681	5091805.8665
1508625049	180699340.8
1508625106	113005841.066
1508625161	149489322.667
1508625221	12366711.4665
1508625281	4530380.8
1508625511	1030894.9335
1508625543	1030894.9335
1508625581	22518988.8
1508625661	106603315.2
1508625701	525155601.067
1508625761	555662540.8
1508625821	97925734.4
1508625881	198145911.467
1508626060	11951650.1335
1508626121	23958596.2665
1508626181	240158924.8
1508626241	100885299.2
1508626301	37556019.2
1508626361	4925849.6
1508626421	32579925.3335
1508626481	119709627.734
1508626869	50472209.0665
1508626916	50472209.0665
1508626961	15206946.1335
1508627021	117629815.466
1508627081	3097600.0
1508627318	222972996.266
1508627354	136690756.266
1508627381	136690756.266
1508627463	296341913.6
1508627501	296341913.6
1508627561	468848913.067
1508627621	185726498.134
1508627681	119069764.266
1508627893	13147340.8
1508627926	13147340.8
1508627981	52805632.0
1508628041	5563187.2
1508628101	4610730.6665
1508628161	25304473.6
1508628221	21227042.1335
1508628281	5293260.8
1508628648	536323822.933
1508628704	208570436.266
1508628761	197409928.533
1508628821	16928699.7335
1508628881	11592021.3335
1508629124	1457152.0
1508629181	39653853.8665
1508629267	484110131.2
1508629301	484110131.2
1508629361	559190152.533
1508629421	319371468.8
1508629481	115791394.133
1508629679	11268300.8
1508629721	7356279.4665
1508629781	121321335.466
1508629841	392214664.534
1508629901	243667899.734
1508629961	8096221.8665
1508630021	5332582.4
1508630081	4564172.8
1508630492	130059195.734
1508630540	30113041.0665
1508630561	30113041.0665
1508630621	9316761.6
1508630681	3412855.4665
1508630917	7174212.2665
1508630951	409315191.466
1508630981	409315191.466
1508631072	389445905.067
1508631101	389445905.067
1508631161	520744550.4
1508631221	258165077.333
1508631281	487100006.4
1508631520	39951291.7335
1508631581	147012334.933
1508631641	12870041.6
1508631701	102922717.867
1508631761	45045350.4
1508631822	14618828.8
1508631881	14350131.2
1508632266	209692876.8
1508632315	209692876.8
1508632361	267576320.0
1508632421	18346393.6
1508632481	5330329.6
1508632693	618632.5335
1508632726	618632.5335
1508632781	11922432.0
1508632865	529625088.0
1508632901	529625088.0
1508632961	462985625.6
1508633021	338120567.466
1508633081	116797986.133
1508633321	3968341.3335
1508633381	169628603.734
1508633441	307226965.334
1508633501	102132326.4
1508633561	8918220.8
1508633621	37155908.2665
1508633681	116867003.734
1508634065	10392576.0
1508634115	10392576.0
1508634161	6839227.7335
1508634221	62430481.0665
1508634281	1813981.8665
1508634510	6657638.4
1508634544	17525282.1335
1508634581	17525282.1335
1508634665	45440409.6
1508634701	489538764.8
1508634761	281313621.334
1508634821	565119385.6
1508634881	175751645.866
1508635127	6397132.8
1508635181	48013243.7335
1508635241	1684548.2665
1508635301	3996398.9335
1508635361	26194807.4665
1508635421	9478894.9335
1508635481	5107916.8
1508635874	12673297.0665
1508635922	4843793.0665
1508635961	4843793.0665
1508636021	1578803.2
1508636081	1716019.2
1508636319	561902.9335
1508636352	13264418.1335
1508636381	13264418.1335
1508636466	407663274.666
1508636502	407663274.666
1508636561	408831112.534
1508636621	4728968.5335
1508636681	214397678.933
1508636907	25501218.1335
1508636942	25501218.1335
1508636981	55393143.4665
1508637041	2254711.4665
1508637101	8363417.6
1508637161	8219716.2665
1508637221	33201766.4
1508637281	118484377.6
1508637657	201011131.734
1508637706	37071940.2665
1508637761	4989678.9335
1508637821	126287598.934
1508637881	1228526.9335
1508638100	3682304.0
1508638132	3682304.0
1508638181	183059046.4
1508638293	431450112.0
1508638305	431450112.0
1508638361	349476590.933
1508638421	532097365.334
1508638481	136882858.667
1508638716	18891025.0665
1508638748	51690086.4
1508638781	51690086.4
1508638841	8835618.1335
1508638901	5338794.6665
1508638961	28038212.2665
1508639021	11163170.1335
1508639081	1946760.5335
1508639442	54597836.8
1508639501	14529058.1335
1508639561	5991833.6
1508639621	2362231.4665
1508639681	3040938.6665
1508639908	1384106.6665
1508639942	1384106.6665
1508639981	129207910.4
1508640063	213056443.734
1508640101	418241467.734
1508640161	443430434.133
1508640221	8711918.9335
1508640281	132454946.133
1508640500	7927981.5593
1508640533	7927981.5593
1508640581	52618922.6665
