clock	value
1508601720	29224960.0
1508601776	1430937.6
1508601836	22673271.4665
1508601910	82366190.9335
1508602113	277922679.466
1508602136	277922679.466
1508602196	175786803.2
1508602270	68791637.3335
1508602316	968704.0
1508602376	51055206.4
1508602436	202790775.467
1508602512	460764637.867
1508602737	98153267.2
1508602796	115961173.333
1508602856	76726681.6
1508602916	37456145.0665
1508602976	41233271.4665
1508603036	43477333.3335
1508603135	105403.7335
1508603463	435667626.666
1508603516	149068390.4
1508603576	5434845.8665
1508603636	151705053.866
1508603709	410373051.734
1508603955	155596253.866
1508603996	125436586.667
1508604071	309359616.0
1508604116	530680900.266
1508604176	440677034.666
1508604236	354979498.666
1508604310	286190387.2
1508604537	45389414.4
1508604596	295085397.334
1508604656	214760174.933
1508604716	13912200.5335
1508604776	5257830.4
1508604836	2945365.3335
1508604933	140460373.333
1508605273	609170227.2
1508605316	195280281.6
1508605376	15914393.6
1508605436	34171221.3335
1508605511	12112554.6665
1508605737	371600179.2
1508605796	64644778.6665
1508605869	220225126.4
1508605916	532933700.266
1508605976	366734404.266
1508606036	377785753.6
1508606111	124745591.466
1508606304	37228680.5335
1508606336	37228680.5335
1508606396	50971784.5335
1508606456	25236616.5335
1508606517	8256307.2
1508606576	26114389.3335
1508606636	18678169.6
1508606730	395550856.534
1508607090	11980390.4
1508607116	11980390.4
1508607176	14053376.0
1508607236	13373576.5335
1508607311	2425036.8
1508607542	194475076.266
1508607596	12417638.4
1508607669	422505949.867
1508607716	509208576.0
1508607776	256265011.2
1508607836	360876100.266
1508607912	549106005.334
1508608135	26794393.6
1508608196	45870899.2
1508608256	11891438.9335
1508608316	14366583.4665
1508608376	5475396.2665
1508608436	103197559.466
1508608530	114622054.4
1508608892	300645649.067
1508608916	300645649.067
1508608976	154439338.667
1508609036	56137181.8665
1508609110	12364663.4665
1508609315	158986308.266
1508609336	158986308.266
1508609396	56632251.7335
1508609470	329212723.2
1508609516	520904635.734
1508609576	399263266.133
1508609636	360029593.6
1508609712	54492569.6
1508609935	16369595.7335
1508609996	44395178.6665
1508610056	3627144.5335
1508610116	9310412.8
1508610176	29216768.0
1508610236	11679812.2665
1508610327	402148488.534
1508610692	12852155.7335
1508610719	12852155.7335
1508610776	4335274.6665
1508610836	1887914.6665
1508610910	2424968.5335
1508611124	6473932.8
1508611139	6473932.8
1508611196	11703091.2
1508611266	441683012.266
1508611316	496892791.466
1508611376	37752763.7335
1508611436	126790178.133
1508611510	28686404.2665
1508611673	7806634.6665
1508611686	7806634.6665
1508611736	14651187.2
1508611796	18208017.0665
1508611856	4224887.4665
1508611916	9348983.4665
1508611976	679936.0
1508612036	2225766.4
1508612133	280493943.466
1508612488	356483686.4
1508612516	356483686.4
1508612576	27281134.9335
1508612636	44588782.9335
1508612711	56820394.6665
1508612878	383703244.8
1508612936	21576157.8665
1508612996	129682636.8
1508613061	312667955.2
1508613116	384774144.0
1508613176	403175082.666
1508613236	410500096.0
1508613311	401689941.334
1508613538	139237512.533
1508613596	55595212.8
1508613656	26216789.3335
1508613716	6635246.9335
1508613776	25609830.4
1508613836	19646737.0665
1508613930	207432430.933
1508614294	272426461.867
1508614316	272426461.867
1508614376	214091707.734
1508614436	27422310.4
1508614510	26984038.4
1508614727	7139942.4
1508614744	7139942.4
1508614796	21845811.2
1508614871	6459801.6
1508614916	323147093.334
1508614976	476237960.534
1508615036	520761002.666
1508615111	167174690.134
1508615333	41860437.3335
1508615350	41860437.3335
1508615396	238647091.2
1508615456	150834995.2
1508615516	12080196.2665
1508615576	5489254.4
1508615636	126925960.534
1508615730	235652437.333
1508616073	44320290.1335
1508616116	12786688.0
1508616176	4921958.4
1508616236	1967923.2
1508616312	2605806.9335
1508616526	9243511.4665
1508616541	9243511.4665
1508616596	183018837.333
1508616668	259824162.134
1508616716	554834807.467
1508616776	182643643.734
1508616836	508386781.867
1508616911	387113096.534
1508617105	55648119.4665
1508617136	55648119.4665
1508617196	61225847.4665
1508617256	3263351.4665
1508617316	8400008.5335
1508617376	42607684.2665
1508617436	8837120.0
1508617528	224731750.4
1508617876	472584055.466
1508617916	346616627.2
1508617976	45958348.8
1508618036	10569250.1335
1508618111	2930483.2
1508618336	3730363.7335
1508618396	11358208.0
1508618468	361755238.4
1508618516	546044654.934
1508618576	332106820.266
1508618636	41086429.8665
1508618711	199249578.667
1508618948	24816298.6665
1508618996	261027840.0
1508619056	326100582.4
1508619116	14140962.1335
1508619176	3927995.7335
1508619236	128346316.8
1508619331	260876151.467
1508619687	43711829.3335
1508619716	43711829.3335
1508619776	46000810.6665
1508619837	3163545.6
1508619910	4902434.1335
1508620076	383300949.334
1508620136	14055901.8665
1508620196	113178965.333
1508620273	203837303.467
1508620316	489928021.334
1508620376	331714150.4
1508620436	516558506.666
1508620509	312110216.534
1508620723	28646126.9335
1508620739	28646126.9335
1508620796	45970227.2
1508620856	10496750.9335
1508620916	8713625.6
1508620976	33096908.8
1508621036	5197960.5335
1508621138	386698513.067
1508621494	224608802.134
1508621517	224608802.134
1508621576	75188087.4665
1508621636	4242227.2
1508621711	3582293.3335
1508621935	4936294.4
1508621996	10610756.2665
1508622056	311715908.266
1508622116	516094088.534
1508622176	489883511.466
1508622236	182684057.6
1508622311	78158506.6665
1508622518	120384648.534
1508622536	120384648.534
1508622596	274948505.6
1508622656	266822382.933
1508622716	12507136.0
1508622776	3699370.6665
1508622836	73771417.6
1508622933	330915498.666
1508623289	34519449.6
1508623316	34519449.6
1508623376	9676936.5335
1508623436	77246532.2665
1508623511	70932684.8
1508623733	9354444.8
1508623748	9354444.8
1508623796	111264699.734
1508623856	167530496.0
1508623916	492826760.534
1508623976	348399411.2
1508624036	453434231.466
1508624111	166537216.0
1508624331	20126993.0665
1508624347	20126993.0665
1508624396	51691383.4665
1508624456	29117440.0
1508624516	5194615.4665
1508624576	33585015.4665
1508624636	9450018.1335
1508624728	248642764.8
1508625080	40278425.6
1508625116	40278425.6
1508625176	145179306.667
1508625236	10019362.1335
1508625310	5684428.8
1508625529	3167232.0
1508625544	3167232.0
1508625596	14245478.4
1508625666	250900821.333
1508625716	498390698.666
1508625776	553704652.8
1508625836	103095978.667
1508625912	244198946.134
1508626079	12250112.0
1508626136	37803690.6665
1508626196	249202688.0
1508626256	115312093.867
1508626316	14329309.8665
1508626376	3966429.8665
1508626436	121322018.133
1508626529	133167513.6
1508626896	19161702.4
1508626919	19161702.4
1508626976	30832981.3335
1508627036	60168533.3335
1508627111	5556770.1335
1508627339	87452057.6
1508627397	124279808.0
1508627468	324153412.266
1508627516	373355997.867
1508627576	407783765.334
1508627636	200862173.866
1508627710	60616499.2
1508627911	22084471.4665
1508627936	22084471.4665
1508627996	45993233.0665
1508628056	6590668.8
1508628116	5749964.8
1508628176	30485094.4
1508628236	10883481.6
1508628332	212437469.866
1508628675	470924629.334
1508628716	233748138.667
1508628776	124225536.0
1508628836	10617446.4
1508628913	3198702.9335
1508629142	7612074.6665
1508629196	12305749.3335
1508629272	281214566.4
1508629316	489383731.2
1508629376	495931187.2
1508629436	191278421.333
1508629512	207252138.667
1508629699	8085367.4665
1508629736	2834909.8665
1508629796	176604433.067
1508629856	403207304.534
1508629916	174812364.8
1508629976	8393045.3335
1508630036	3055206.4
1508630134	157931929.6
1508630520	120330240.0
1508630576	13941213.8665
1508630636	3332164.2665
1508630711	2112375.4665
1508630937	49630071.4665
1508630996	437839940.266
1508631076	331583624.534
1508631116	421141367.466
1508631176	443957862.4
1508631236	324675379.2
1508631311	464219477.334
1508631540	37742387.2
1508631596	70361565.8665
1508631656	10939596.8
1508631716	8587264.0
1508631776	50980454.4
1508631836	23016857.6
1508631928	270054741.334
1508632295	286339754.666
1508632320	286339754.666
1508632376	170505284.266
1508632436	7836125.8665
1508632511	5916808.5335
